,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1218,bundesliga_2,2022,2022-09-10,Karlsruher SC,FC Heidenheim,0,0,0,0,D
1219,bundesliga_2,2022,2022-09-10,Fortuna Dusseldorf,Hansa Rostock,3,1,2,1,H
1220,bundesliga_2,2022,2022-09-11,FC Magdeburg,SpVgg Greuther Furth,2,1,1,1,H
1221,bundesliga_2,2022,2022-09-11,FC St. Pauli,SV Sandhausen,1,1,1,0,D
1222,bundesliga_2,2022,2022-09-11,FC Kaiserslautern,SV Darmstadt 98,3,3,0,3,D
1223,bundesliga_2,2022,2022-09-16,SV Sandhausen,Hannover 96,2,3,0,2,A
1224,bundesliga_2,2022,2022-09-16,Eintracht Braunschweig,Karlsruher SC,2,1,1,1,H
1225,bundesliga_2,2022,2022-09-17,SV Darmstadt 98,FC Nurnberg,2,0,2,0,H
1226,bundesliga_2,2022,2022-09-17,Arminia Bielefeld,Holstein Kiel,4,2,2,2,H
1227,bundesliga_2,2022,2022-09-17,Hansa Rostock,FC Magdeburg,3,1,2,1,H
1228,bundesliga_2,2022,2022-09-17,Hamburger SV,Fortuna Dusseldorf,2,0,1,1,H
1229,bundesliga_2,2022,2022-09-18,Jahn Regensburg,FC St. Pauli,2,0,2,0,H
1230,bundesliga_2,2022,2022-09-18,SpVgg Greuther Furth,SC Paderborn 07,2,1,1,1,H
1231,bundesliga_2,2022,2022-09-18,FC Heidenheim,FC Kaiserslautern,2,2,2,0,D
1232,bundesliga_2,2022,2022-09-30,Hannover 96,Hamburger SV,1,2,1,0,A
1233,bundesliga_2,2022,2022-09-30,SC Paderborn 07,SV Darmstadt 98,1,2,1,0,A
1234,bundesliga_2,2022,2022-10-01,Fortuna Dusseldorf,Arminia Bielefeld,4,1,1,3,H
1235,bundesliga_2,2022,2022-10-01,SpVgg Greuther Furth,SV Sandhausen,1,1,0,1,D
1236,bundesliga_2,2022,2022-10-01,Holstein Kiel,Hansa Rostock,1,1,1,0,D
1237,bundesliga_2,2022,2022-10-01,FC St. Pauli,FC Heidenheim,0,0,0,0,D
1238,bundesliga_2,2022,2022-10-02,FC Magdeburg,Jahn Regensburg,1,0,0,1,H
1239,bundesliga_2,2022,2022-10-02,FC Kaiserslautern,Eintracht Braunschweig,1,1,0,1,D
1240,bundesliga_2,2022,2022-10-02,Karlsruher SC,FC Nurnberg,3,0,1,2,H
1241,bundesliga_2,2022,2022-10-07,Jahn Regensburg,SpVgg Greuther Furth,2,2,1,1,D
1242,bundesliga_2,2022,2022-10-07,Arminia Bielefeld,Karlsruher SC,1,2,0,1,A
1243,bundesliga_2,2022,2022-10-08,SV Darmstadt 98,Fortuna Dusseldorf,1,0,0,1,H
1244,bundesliga_2,2022,2022-10-08,Eintracht Braunschweig,FC St. Pauli,2,1,0,2,H
1245,bundesliga_2,2022,2022-10-08,Hansa Rostock,SC Paderborn 07,0,3,0,0,A
1246,bundesliga_2,2022,2022-10-08,Hamburger SV,FC Kaiserslautern,1,1,1,0,D
1247,bundesliga_2,2022,2022-10-09,FC Nurnberg,Holstein Kiel,2,3,1,1,A
1248,bundesliga_2,2022,2022-10-09,FC Heidenheim,Hannover 96,2,1,1,1,H
1249,bundesliga_2,2022,2022-10-09,SV Sandhausen,FC Magdeburg,1,0,0,1,H
1250,bundesliga_2,2022,2022-10-14,SpVgg Greuther Furth,Hansa Rostock,2,2,1,1,D
1251,bundesliga_2,2022,2022-10-14,FC St. Pauli,Hamburger SV,3,0,0,3,H
1252,bundesliga_2,2022,2022-10-15,Fortuna Dusseldorf,FC Nurnberg,0,1,0,0,A
1253,bundesliga_2,2022,2022-10-15,FC Magdeburg,Eintracht Braunschweig,0,2,0,0,A
1254,bundesliga_2,2022,2022-10-15,Karlsruher SC,SV Darmstadt 98,1,2,1,0,A
1255,bundesliga_2,2022,2022-10-15,Hannover 96,Arminia Bielefeld,2,0,1,1,H
1256,bundesliga_2,2022,2022-10-16,SC Paderborn 07,SV Sandhausen,3,0,1,2,H
1257,bundesliga_2,2022,2022-10-16,Holstein Kiel,FC Heidenheim,3,1,1,2,H
1258,bundesliga_2,2022,2022-10-16,FC Kaiserslautern,Jahn Regensburg,0,3,0,0,A
1259,bundesliga_2,2022,2022-10-21,SV Darmstadt 98,Holstein Kiel,1,1,0,1,D
1260,bundesliga_2,2022,2022-10-21,Hansa Rostock,FC Kaiserslautern,0,2,0,0,A
1261,bundesliga_2,2022,2022-10-22,FC Nurnberg,Hannover 96,0,0,0,0,D
1262,bundesliga_2,2022,2022-10-22,Jahn Regensburg,SV Sandhausen,2,1,1,1,H
1263,bundesliga_2,2022,2022-10-22,Eintracht Braunschweig,SC Paderborn 07,0,0,0,0,D
1264,bundesliga_2,2022,2022-10-22,Arminia Bielefeld,FC St. Pauli,2,0,0,2,H
1265,bundesliga_2,2022,2022-10-23,Hamburger SV,FC Magdeburg,2,3,0,2,A
1266,bundesliga_2,2022,2022-10-23,FC Heidenheim,SpVgg Greuther Furth,3,1,2,1,H
1267,bundesliga_2,2022,2022-10-23,Karlsruher SC,Fortuna Dusseldorf,0,2,0,0,A
1268,bundesliga_2,2022,2022-10-28,SpVgg Greuther Furth,Arminia Bielefeld,1,0,1,0,H
1269,bundesliga_2,2022,2022-10-28,FC Magdeburg,FC Heidenheim,1,1,0,1,D
1270,bundesliga_2,2022,2022-10-29,Jahn Regensburg,Hansa Rostock,0,3,0,0,A
1271,bundesliga_2,2022,2022-10-29,Holstein Kiel,Fortuna Dusseldorf,1,2,0,1,A
1272,bundesliga_2,2022,2022-10-29,FC Kaiserslautern,FC Nurnberg,0,0,0,0,D
1273,bundesliga_2,2022,2022-10-29,FC St. Pauli,SV Darmstadt 98,1,1,0,1,D
1274,bundesliga_2,2022,2022-10-30,Hannover 96,Karlsruher SC,1,0,0,1,H
1275,bundesliga_2,2022,2022-10-30,SC Paderborn 07,Hamburger SV,2,3,1,1,A
